month,date,nav,daily_ret,idx_ret,in_market,regime,position_cap,invested_pct
2025-09 Sep,2025-09-26,4892.803336347408,-0.1224321412473528,-0.9456648194139272,True,recovery,35,29.627618117535352
2025-09 Sep,2025-09-29,4903.585926287273,0.22037652443056555,1.5385328817338007,True,recovery,60,59.99690928690469
2025-09 Sep,2025-09-30,4897.418430434402,-0.12577521727126229,0.4467697664940262,True,bull,50,59.946531950440686
2025-10 Oct,2025-10-09,5000.0,0.0,1.4822782971684711,True,neutral,60,60.0
2025-10 Oct,2025-10-10,5020.744266649386,0.41488533298772445,-1.967265189674794,True,neutral,50,60.16526845860031
2025-10 Oct,2025-10-13,4987.4064472127575,-0.6640015437168856,-0.49503620879588484,True,neutral,50,59.8989971808351
2025-10 Oct,2025-10-14,4978.793962160947,-0.17268464367133918,-1.195368981878231,True,neutral,50,59.82962911901781
2025-10 Oct,2025-10-15,5042.258974481844,1.2747065414482783,1.4810101818348187,True,neutral,50,60.33523842940801
2025-10 Oct,2025-10-16,4990.830881052992,-1.0199415319427807,0.2634225215618402,True,neutral,60,59.99001110949907
2025-10 Oct,2025-10-17,4934.272959299173,-1.1332365912965159,-2.2559003919520593,False,neutral,0,59.531406196535066
2025-10 Oct,2025-10-20,4972.691090923099,0.7785976159167207,0.5313192600739702,False,neutral,0,59.844059392752
2025-10 Oct,2025-10-21,5059.602177279736,1.747767652715848,1.5347867666177573,False,neutral,0,60.53383623677354
2025-10 Oct,2025-10-22,5094.458522619938,0.6889147430745757,-0.33208387732993616,False,neutral,0,60.803864195049385
2025-10 Oct,2025-10-23,5068.601816717013,-0.5075457143898232,0.29994099164520893,True,neutral,56,55.991772536557285
2025-10 Oct,2025-10-24,5051.079350965516,-0.34570610170452376,1.1796554535103088,True,neutral,50,55.83910563015344
2025-10 Oct,2025-10-27,5069.8889335090425,0.3723873896364527,1.1872720828101535,True,neutral,50,56.002945114358994
2025-10 Oct,2025-10-28,5062.328598698252,-0.1491222965619876,-0.5098792010804098,True,neutral,50,55.93723771130544
2025-10 Oct,2025-10-29,5062.605646979751,0.005472743937851021,1.1906505003332235,True,neutral,50,55.93964902149261
2025-10 Oct,2025-10-30,5049.522972213548,-0.25841781245607987,-0.7988267501966129,True,neutral,57,56.9954828572327
2025-10 Oct,2025-10-31,5042.4361281510955,-0.14034680308318004,-1.4701551685371683,True,neutral,50,56.935042566225256
2025-11 Nov,2025-11-03,5000.0,0.0,0.2744216996346305,True,neutral,57,56.99999999999999
2025-11 Nov,2025-11-04,5004.268659958254,0.08537319916508412,-0.7457768003330201,True,neutral,50,57.03667916146742
2025-11 Nov,2025-11-05,5032.8711516720405,0.5715618736190198,0.18529027329989844,True,neutral,50,57.28084556097331
2025-11 Nov,2025-11-06,5026.807419527111,-0.12048256277960023,1.4294861945208792,False,neutral,0,57.22931434277508
